id,price,year,manufacturer,model,odometer,title_status,VIN,type,paint_color,image_url
7316194409,14817,2016,chevrolet,equinox,69740,clean,WBA5B1C56ED479874,SUV,silver,https://images.craigslist.org/00j0j_f0M1Ke9DQGhz_0ak06T_600x450.jpg
7316189917,48999,2019,ram,1500 laramie automatic,29646,clean,WDDZF4JB7HA135744,pickup,silver,https://images.craigslist.org/00Z0Z_dC3wjmuAjm1z_09n07K_600x450.jpg
7316178452,27306,2013,jeep,wrangler unlimited sahara automatic,104831,clean,5UXKR2C54E0C00566,SUV,black,https://images.craigslist.org/00D0D_m4UviUShdDz_0a107K_600x450.jpg
7316173126,16925,2008,jeep,wrangler,74157,clean,5UXKR0C5XE0H20808,SUV,silver,https://images.craigslist.org/00P0P_bHXkgXRTTFiz_0ak06T_600x450.jpg
7316170977,34493,2018,jeep,wrangler jk rubicon automatic,47113,clean,5UXZV4C56D0B17905,SUV,black,https://images.craigslist.org/00F0F_iZXlxdepxoJz_09z07K_600x450.jpg
7316170428,21491,2012,ford,f-150,98188,clean,5UXKU0C52F0F91964,pickup,silver,https://images.craigslist.org/00V0V_82VSflO7Iegz_0ak07I_600x450.jpg
7316169414,55702,2015,chevrolet,silverado 3500hd built after aug 14 ltz automatic,46133,clean,1G1ZB5ST0GF200043,pickup,silver,https://images.craigslist.org/00i0i_jiB8nJUfnUwz_0ak07K_600x450.jpg
7316169123,11996,2013,honda,cr-v,109450,clean,3FADP4EJ7CM159613,SUV,silver,https://images.craigslist.org/00B0B_fXQAp6w87FOz_0ak06T_600x450.jpg
7316164922,43280,2008,chevrolet,corvette,17023,clean,KL8CA6S93EC472927,coupe,black,https://images.craigslist.org/00n0n_dMdOATTkdUlz_0ak07K_600x450.jpg
7316162391,51850,2016,ford,super duty f-250 srw lariat automatic,74774,clean,2D8HN44E59R542278,pickup,silver,https://images.craigslist.org/00404_jimQAcEjOW1z_0ak07H_600x450.jpg
7316150896,10999,2011,toyota,sienna,139904,clean,1C3CCCAB9FN715638,mini-van,grey,https://images.craigslist.org/00101_6C5CY0mIAoDz_09G07g_600x450.jpg
7316138062,8000,2016,kia,rio lx,81400,clean,1C4RJFLG6JC371244,hatchback,white,https://images.craigslist.org/00L0L_hIe7Ghz5Nskz_0CI0t2_600x450.jpg
7316070273,5800,2007,saturn,sky,111446,clean,1FTBF2A68BEC22054,convertible,grey,https://images.craigslist.org/00N0N_jgWtZjIEikOz_0zm0ky_600x450.jpg
7316061372,4999,2005,dodge,neon,93230,clean,1GCNCPEX6BZ255181,sedan,blue,https://images.craigslist.org/00y0y_gdxh32lHID7z_0cU09G_600x450.jpg
7316045044,3950,2006,mitsubishi,lancer,214188,clean,1GC0CVCG8DF216582,sedan,black,https://images.craigslist.org/01717_j2IRiqMWHPUz_0CI0t2_600x450.jpg
7315982674,20999,2010,dodge,challenger,102710,clean,1GCRKPEA4DZ100406,coupe,blue,https://images.craigslist.org/00v0v_5NHdZyDefc6z_0cU09G_600x450.jpg
7315898725,30590,2018,honda,pilot ex-l sport utility,28577,clean,1GCGSCE34G1219075,other,white,https://images.craigslist.org/00m0m_3cHja3kxowHz_0gw0co_600x450.jpg
7315897076,30990,2016,gmc,canyon crew cab sle pickup,51605,clean,5TFRZ5CN3JX061840,pickup,silver,https://images.craigslist.org/00v0v_46KYX8zWl07z_0gw0co_600x450.jpg
7315895583,35990,2019,mini,convertible cooper s 2d,9508,clean,3D7KS28D85G901700,other,blue,https://images.craigslist.org/00C0C_5N0oDxDEgQDz_0gw0co_600x450.jpg
7315892530,25990,2018,acura,rdx technology pkg sport,38619,clean,1FT8W3BT3FEA12360,other,blue,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg
7315892463,26590,2017,bmw,4 series 430i gran coupe 4d,56024,clean,1FTFW1EG1HKC25497,coupe,blue,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg
7315892403,22990,2018,chevrolet,colorado extended cab,51275,clean,1FM5K8HT4JGA42978,pickup,black,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg
7315892302,17990,2014,subaru,xv crosstrek premium,60540,clean,WDDZF4JB0JA377295,hatchback,white,https://images.craigslist.org/00V0V_gzRkkPPePxBz_0gw0co_600x450.jpg
7315892094,32590,2020,ram,1500 classic crew cab slt,21229,clean,5J6RE4H32BL023872,pickup,red,https://images.craigslist.org/00l0l_3luqeOrn6piz_0gw0co_600x450.jpg
7315891969,26590,2018,nissan,frontier crew cab sv,40176,clean,5TETU22N25Z089163,pickup,silver,https://images.craigslist.org/00I0I_hzdJUnDJe9iz_0gw0co_600x450.jpg
7315891923,25590,2016,jeep,cherokee trailhawk sport,48191,clean,2G1FT1EW2A9128292,other,white,https://images.craigslist.org/00909_gnyequuw8mBz_0gw0co_600x450.jpg
7315891792,23990,2017,mazda,cx-5 touring sport utility,15752,clean,1C6RR7GT2HS853920,other,blue,https://images.craigslist.org/00x0x_bWdZr40IV5wz_0gw0co_600x450.jpg
7315891724,17590,2013,volkswagen,jetta sportwagen 2.0l,47380,clean,KMHTC6AD1GU296962,wagon,silver,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg
7315891199,16990,2016,ford,fiesta st hatchback 4d,57687,clean,KNAGM4A7XF5633927,hatchback,blue,https://images.craigslist.org/00J0J_7rA9L7ym0BTz_0gw0co_600x450.jpg
7315891074,16990,2018,hyundai,accent se sedan 4d,16930,clean,JTHBF5C23D5189476,sedan,white,https://images.craigslist.org/00k0k_2G5SBDPenD1z_0gw0co_600x450.jpg
7315890995,37590,2018,honda,civic type r touring,17745,clean,1N4AL3AP4FC165037,sedan,red,https://images.craigslist.org/00h0h_c7exix46Ovhz_0gw0co_600x450.jpg
7315889165,38590,2018,lexus,rx 350 sport utility 4d,9210,clean,1FTEW1EG4FKD22735,other,black,https://images.craigslist.org/01313_4JzFHNZRaTqz_0gw0co_600x450.jpg
7315889142,35590,2019,honda,odyssey ex-l minivan 4d,4265,clean,3GCUKNEC3GG272009,van,blue,https://images.craigslist.org/00505_if6msmSoPZoz_0gw0co_600x450.jpg
7315889014,32990,2018,chevrolet,colorado crew cab z71,33209,clean,1FTEW1EG1FFA30002,pickup,black,https://images.craigslist.org/00q0q_RBMOfiOWFgz_0gw0co_600x450.jpg
7315888988,15590,2013,toyota,prius v two wagon 4d,91468,clean,5UXKR0C58F0K59073,wagon,silver,https://images.craigslist.org/00g0g_WFnPLYukx7z_0gw0co_600x450.jpg
7315889171,33990,2020,lexus,ux 250h sport utility 4d,5329,clean,4JGDA5JB8EA369066,hatchback,red,https://images.craigslist.org/01414_7hPheCq4i1Sz_0gw0co_600x450.jpg
7315888898,28990,2018,subaru,outback 2.5i limited,17213,clean,1FT8W3DT3GEC61076,wagon,white,https://images.craigslist.org/00505_7o77kqlAXSiz_0gw0co_600x450.jpg
7315888972,6990,2006,saturn,vue,64120,clean,5TEGM92N23Z228571,SUV,green,https://images.craigslist.org/00Y0Y_lz3ENulBMGUz_09G07g_600x450.jpg
7315888982,9999,2009,mazda,rx-8,82811,clean,1C4RDHAGXHC752711,coupe,white,https://images.craigslist.org/01111_7EOs4FSjKsz_09G07g_600x450.jpg
7315870497,17590,2013,lincoln,mks ecoboost sedan 4d,83040,clean,3C4PDCAB6ET264340,sedan,red,https://images.craigslist.org/00g0g_7kc1Bl5aTKIz_0gw0co_600x450.jpg
7315863777,15990,2012,toyota,camry le sedan 4d,31907,clean,WMWLN5C59H2E32394,sedan,silver,https://images.craigslist.org/00a0a_ePKHB4EuThIz_0gw0co_600x450.jpg
7315858409,27990,2014,dodge,durango r/t sport utility,40911,clean,1FTSE34S02HA99866,other,black,https://images.craigslist.org/00505_hWmr9zFr714z_0gw0co_600x450.jpg
7315858427,36590,2020,subaru,wrx sti sedan 4d,12297,clean,1FTDF15N6PLA66085,sedan,silver,https://images.craigslist.org/00n0n_gbBl55vIPvHz_0gw0co_600x450.jpg
7315858381,9995,2013,toyota,camry se,98765,clean,3GCUKSEC2EG216624,sedan,red,https://images.craigslist.org/00e0e_iYfm0fyAUzNz_0ww0oo_600x450.jpg
7315855347,7795,2012,toyota,corolla le,143454,clean,3GNCA23B79S549002,sedan,grey,https://images.craigslist.org/00Q0Q_hlhfBtoPko4z_0ww0oo_600x450.jpg
7315851051,2795,2004,ford,taurus,103095,clean,KNAGM4A71F5662765,sedan,grey,https://images.craigslist.org/00P0P_4h0kMB28cPUz_0x20g4_600x450.jpg
7315831425,16990,2014,toyota,rav4 ev sport utility 4d,60598,clean,1FAHP2HW3BG122564,other,silver,https://images.craigslist.org/00k0k_cmlewAWIIZaz_0gw0co_600x450.jpg
7315831387,16590,2014,mercedes-benz,b-class electric,36421,clean,1FTBF2B66EEA56037,hatchback,blue,https://images.craigslist.org/00r0r_kKqYhWdQ0Rdz_0gw0co_600x450.jpg
7315774938,29991,2016,subaru,wrx sti sti manual,66135,clean,NM0LS7BN3DT135161,sedan,silver,https://images.craigslist.org/01717_9mzeQIFk6Syz_0ak06T_600x450.jpg
7315774765,16974,2013,chevrolet,camaro ss manual,143201,clean,1C4BJWDG4FL671811,coupe,black,https://images.craigslist.org/00n0n_gPHggHpyWF6z_0ak07b_600x450.jpg
7315773854,41990,2016,chevrolet,silverado 1500 lt automatic,67104,clean,3HGGK5H54HM710633,pickup,black,https://images.craigslist.org/01111_eIA2qrCYZeNz_0ak07K_600x450.jpg
7315765768,22991,2014,ford,explorer sport automatic,60167,clean,1GTR1UEH7EZ264149,SUV,white,https://images.craigslist.org/00404_6P5jN086AI2z_0ak06T_600x450.jpg
7315761372,35242,2018,dodge,durango r/t automatic,50119,clean,5TFDM5F18DX048054,SUV,white,https://images.craigslist.org/00F0F_e40NGRZkZc3z_0ak06S_600x450.jpg
7315761137,24541,2013,gmc,yukon,103991,clean,5TFUW5F10BX199395,SUV,silver,https://images.craigslist.org/01616_lJnL2NymC80z_0ak07K_600x450.jpg
7315761117,45048,2017,gmc,sierra 1500 denali automatic,31641,clean,JTEBU11F570076888,pickup,blue,https://images.craigslist.org/00202_cguOVJZQnlHz_0ak06T_600x450.jpg
7315749646,60759,2015,chevrolet,camaro,23002,clean,WAU2GAFCXCN151797,coupe,white,https://images.craigslist.org/00z0z_84wg3FlQPY4z_0ak06T_600x450.jpg
